FullName,Client Name,Client Province,Client District,ClientID,EmailAddress,MobilePhone,HomePhone,BusinessPhone,ConsentSMS,Status,Client Phone,Client EmailAddress,Client CCEmails,Client Status
Sister in charge,Gejo RaRuby Clinic,Mashonaland East,Goromonzi,ZW030276,,,,263774159870.0,,active,263774159870.0,,,active
Sister in charge,Kafura Rural Health Centre,Mashonaland East,Uzumba Maramba Pfungwe,ZW030301,,,,263774160805.0,,active,263774160805.0,,,active
Sister in charge,Karimbika Rural Health Centre,Mashonaland East,Uzumba Maramba Pfungwe,ZW030302,,,,263774160823.0,,active,263774160823.0,,,active
Sister in charge,Sowa Rural Health Centre,Mashonaland East,Uzumba Maramba Pfungwe,ZW030303,,,,263774160751.0,,active,263774160751.0,,,active
Sister in charge,Marembera Rural Health Centre,Mashonaland East,Uzumba Maramba Pfungwe,ZW030304,,,,263774160835.0,,active,263774160835.0,,,active
Sister in charge,Mutawatawa District Hospital,Mashonaland East,Uzumba Maramba Pfungwe,ZW03030A,,,,263783279352.0,,active,263783279352.0,,,active
Sister in charge,Borera Clinic,Mashonaland East,Uzumba Maramba Pfungwe,ZW030325,,,,263774160769.0,,active,263774160769.0,,,active
Sister in charge,Chikuhwa Clinic,Mashonaland East,Uzumba Maramba Pfungwe,ZW030326,,,,263774160716.0,,active,263774160716.0,,,active
Sister in charge,Chipfunde Clinic,Mashonaland East,Uzumba Maramba Pfungwe,ZW030327,,,,263774160826.0,,active,263774160826.0,,,active
Sister in charge,Chitimbe Clinic,Mashonaland East,Uzumba Maramba Pfungwe,ZW030328,,,,263774160786.0,,active,263774160786.0,,,active
Sister in charge,Chitsungo Clinic,Mashonaland East,Uzumba Maramba Pfungwe,ZW030329,,,,263774160722.0,,active,263774160722.0,,,active
Sister in charge,Manyika Clinic,Mashonaland East,Uzumba Maramba Pfungwe,ZW030330,,,,263774160809.0,,active,263774160809.0,,,active
Sister in charge,Maramba Clinic,Mashonaland East,Uzumba Maramba Pfungwe,ZW030331,,,,263774160700.0,,active,263774160700.0,,,active
