FullName,Client Name,Client Province,Client District,ClientID,EmailAddress,MobilePhone,HomePhone,BusinessPhone,ConsentSMS,Status,Client Phone,Client EmailAddress,Client CCEmails,Client Status
Sister in Charge,Katanga Utano Clinic,Mashonaland West,Chegutu,ZW040147,,263773257681.0,,+263783283085,True,active,+263783283085,,,active
c/o Laboratory Shamva District Hospital,Chidembo Clinic,Mashonaland Central,Shamva,ZW020726,,,,+263774159443,,active,+263774159443,,,active
Sister in charge c/o mphlaboratory,Chitora Clinic,Manicaland,Mutare,ZW010519,"mphlaboratory@gmail,com",,,+263774148199,,active,+263774148199,,,active
Sister in charge Gokwe South District Hospital,Chitave Clinic,Midlands Province,Gokwe South,ZW070216,,,,+263774150400,,active,+263774150400,,,active
Sister in charge silveiramissionvl@gmail.com,Chitasa Clinic,Masvingo,Bikita,ZW080125,,,,+263774149135,,active,+263774149135,,bikitadhe@gmail.com,active
Sister in charge Gokwe South District Hospital,Chitapo Clinic,Midlands Province,Gokwe South,ZWdummy12,,,,+263783285183,,active,+263783285183,,,active
Sister in charge gutumissionvl@gmail.com,Chitando Rural Health Centre,Masvingo,Gutu,ZW080408,,,,+263774149730,,active,+263774149730,,,active
Sister in charge c/o mphlaboratory,Chitakatira Clinic,Manicaland,Mutare,ZW010529,"mphlaboratory@gmail,com",,,+263774148192,,active,+263774148192,,,active
Sister in charge c/o mphlaboratory,Chitaka Clinic,Manicaland,Mutare,ZW010534,"mphlaboratory@gmail,com",,,+263783279373,,active,+263783279373,,,active
Sister in charge C/O Chipinge District Hospital,Chisuma Clinic,Manicaland,Chipinge,ZW010339,,,,+263774144894,,active,+263774144894,,,active
Sister in charge c/o mphlaboratory,Chishingwi Clinic,Manicaland,Mutare,ZW010543,"mphlaboratory@gmail,com",,,+263774148190,,active,+263774148190,,,active
Sister in charge makumbedistrictresults@gmail.com,Chishawasha Mission,Mashonaland East,Goromonzi,ZWdummy11,,,,+263783280022,,active,+263783280022,,,active
Sister in charge buheradistrictresults@gmail.com,Chirozva Clinic,Manicaland,Buhera,ZW010129,,,,+263774144532,,active,+263774144532,,,active
Sister in charge silveiramissionvl@gmail.com,Chirorwe Rural Health Centre,Masvingo,Bikita,ZW080101,,,,+263774149134,,active,+263774149134,,bikitadhe@gmail.com,active
Sister in charge shurugwidistrictresults,Chironde Rural Health Centre,Midlands Province,Shurugwi,ZW070602,,,,+263774150935,,active,+263774150935,,,active
Sister in Charge,Chirogwe Clinic,Masvingo,Chivi,ZWdummy10,dhechivi@gmail.com,,,+263774150118,,active,+263774150118,,,active
Sister in charge C/O Chipinge District Hospital,Chiriga Clinic,Manicaland,Chipinge,ZW010346,,,,+263774144893,,active,+263774144893,,,active
Sister in charge chiredzigeneralvl@gmail.com,Chiredzi ZRP Camp Clinic,Masvingo,Chiredzi,ZW080218,,,,+263783285141,,active,+263783285141,,,active
Sister in Charge,Chiredzi ZPS Clinic,Masvingo,Chiredzi,ZW080217,,263772523902.0,,+263783285134,True,active,+263783285134,,,active
Sister in charge chiredzigeneralvl@gmail.com,Chiredzi NRZ Clinic,Masvingo,Chiredzi,ZW080285,,,,+263783285140,,active,+263783285140,,,active
Sister in Charge,Chiredzi General Hospital,Masvingo,Chiredzi,ZW08020A,chiredzihosp@gmail.com,263774150059.0,,+263783282926,True,active,+263783282926,,"chiredzihosp@gmail.com, tsaravoye@gmail.com, chiredzidistrictlaboratory@gmail.com",active
COVID - 19 CONTACT,Chiredzi General Hospital,Masvingo,Chiredzi,ZW08020A,tsaravoye@gmail.com,,,,,active,+263783282926,,"chiredzihosp@gmail.com, tsaravoye@gmail.com, chiredzidistrictlaboratory@gmail.com",active
Sister in charge ndanga,Chiredzana Clinic,Masvingo,Zaka,ZW080729,ndangavl@gmail.com,,,+263774150059,,active,+263774150059,,,active
c/o Laboratory Shamva District Hospital,Chipoli Clinic,Mashonaland Central,Shamva,ZWdummy09,,,,+263774159476,,active,+263774159476,,,active
Sister in Charge,Chipiwa Clinic,Masvingo,Chiredzi,ZW080226,,263715313053.0,,+263774150000,True,active,+263774150000,,,active
Sister in charge C/O Chipinge District Hospital,Chipinge ZRP Camp Clinic,Manicaland,Chipinge,ZW010317,,,,+263783282833,,active,+263783282833,,,active
Sister in charge C/O Chipinge District Hospital,Chipinge ZPS Clinic,Manicaland,Chipinge,ZW010318,,,,+263783282836,,active,+263783282836,,,active
Sister in Charge,Chipinda Rural Health Centre,Masvingo,Zaka,ZW080701,,263774150058.0,,+263774150058,True,active,+263774150058,,,active
Sister in charge c/omphlaboratory,Chipfatsura Rural Health Centre,Manicaland,Mutare,ZW010527,"mphlaboratory@gmail,com",,,+263783279366,,active,+263783279366,,,active
Sister in charge c/omphlaboratory,Chipendeke Clinic,Manicaland,Mutare,ZW010544,"mphlaboratory@gmail,com",,,+263774148186,,active,+263774148186,,,active
Sister in charge C/O Chipinge District Hospital,Chipangayi Clinic,Manicaland,Chipinge,ZW010345,,,,+263783282839,,active,+263783282839,,,active
Sister in charge C/O Rusape District Hospital,Chinyudze Rural Health Centre,Manicaland,Makoni,ZW010406,,,,+263774147819,,active,+263774147819,,,active
Sister in charge C/O Rusape District Hospital,Chinyika 2 Rural Health Centre,Manicaland,Makoni,ZW010405,,,,+263774147815,,active,+263774147815,,,active
c/o Laboratory St Alberts Mission Hospital,Chinyani Clinic,Mashonaland Central,Centenary,ZW020208,,,,+263774157424,,active,+263774157424,,,active
